

Freecodecamp frontend react,
Python web app from the ground up,https://michaelwashburnjr.com/building-webapp-tutorial-part-2/
Deep Learning for Coders,http://course.fast.ai/
Hackerrank,http://www.hacker.com
Udacity + Ga Tech,https://www.udacity.com/courses/georgia-tech-masters-in-cs
SQL Course on Udacity,
Brokerage Operations,https://www.edx.org/professional-certificate/nyif-brokerage-operations



